lat,lon,road,risk_score,lanes_weight
32.8374614,35.5105455,90,4.0,1.5
33.025906,35.1038606,4,4.0,1.5
31.5689799,34.5500762,4,4.0,1.5
33.0280395,35.1040938,4,4.0,1.5
33.0350761,35.1046283,4,4.0,1.5
31.4458355,34.5707134,25,4.0,1.5
31.4505483,34.559437,25,4.0,1.5
32.9899741,35.562177,91,4.0,1.5
30.8811699,34.4019028,211,4.0,1.5
31.5352332,34.6138396,232,4.0,1.0
31.5166416,34.5985756,232,4.0,1.0
31.4913796,34.5518516,232,4.0,1.0
31.3214378,34.6158896,241,4.0,1.5
31.3163123,34.5942241,241,4.0,1.5
33.1217309,35.5689318,899,4.0,1.5
32.9165656,35.3708556,804,4.0,1.0
32.9258305,35.2992486,854,4.0,1.5
33.0973844,35.6429834,918,4.0,1.5
32.9370986,35.4334603,866,4.0,1.0
32.983253,35.443643,866,4.0,1.0
33.0177092,35.4764103,886,4.0,1.0
32.9444339,35.1633367,70,4.0,1.5
31.58664298964033,34.566040750888796,34,4.0,1.5
32.9522321,35.5376741,89,4.0,1.5
30.8917898,34.4229636,211,4.0,1.5
32.897280698696775,35.17223182786978,70,4.0,1.5
33.0026148,35.2869171,89,4.0,1.5
32.9232956543936,35.08658129103854,85,4.0,1.5
32.9137221,35.5428973,85,4.0,1.5
31.6835487,34.6530558,232,4.0,1.0
32.9784512,35.2722319,854,4.0,1.5
32.9139081,35.3731314,804,4.0,1.0
33.06229019469994,35.245346361247,899,4.0,1.5
33.0001394,35.2995065,864,4.0,1.0
33.1114184,35.57241,90,4.0,1.5
32.880303177611694,35.096606451629576,4,4.0,1.5
32.89628971298447,35.09340092865291,4,4.0,1.5
33.026102,35.4052075,899,4.0,1.5
32.904196,35.6337948,888,4.0,1.0
32.76605660839982,35.40872790510802,65,4.0,1.5
32.9727234,35.2775471,854,4.0,1.5
33.0201903,35.4392595,89,4.0,1.5
33.00767852601651,35.145530911557024,70,4.0,1.5
30.957220620694518,34.61477075413093,211,4.0,1.5
33.01555995993626,35.15721540919772,89,4.0,1.5
32.923386831175016,35.281014591808805,85,4.0,1.5
31.4161088,34.6084891,293,4.0,1.5
33.0934847,35.5508057,886,4.0,1.0
32.8831442,35.6607189,92,4.0,1.0
33.0456259,35.105751,4,4.0,1.5
32.789281340118364,35.14009101290014,70,4.0,1.5
32.9666929831624,35.549604799785044,90,4.0,1.5
32.8323457886262,35.15542578585334,70,4.0,1.5
32.98824950584347,35.560438252384834,90,4.0,1.5
33.0248833,35.6728782,91,4.0,1.5
33.08541815558415,35.483716153476244,899,4.0,1.5
33.0207003,35.3327817,89,4.0,1.5
31.50809856344461,34.586744396198206,34,4.0,1.5
32.85906183180816,35.45390879492908,65,4.0,1.5
32.85842558621764,35.45361105946824,65,4.0,1.5
32.94653293377821,35.1637672892712,70,4.0,1.5
33.01741279122482,35.17648195546076,89,4.0,1.5
33.05654783891944,35.34287806267837,899,4.0,1.5
32.921254,35.4199923,85,4.0,1.5
32.947283809952545,35.26881288779681,854,4.0,1.5
32.92215770048255,35.41759929800555,85,4.0,1.5
32.988479326258144,35.483808600614175,89,4.0,1.5
32.9373473,35.4378281,866,4.0,1.0
32.80872107036047,35.06727563794586,4,4.0,1.5
30.913703282688395,34.52660874843474,211,4.0,1.5
30.96207591814279,34.71125008064797,211,4.0,1.5
32.970918826961956,35.09275068997199,4,4.0,1.5
33.0136403,35.622721,918,4.0,1.5
33.0051905,35.1451366,70,4.0,1.5
31.435491805197728,34.678240143674586,293,4.0,1.5
32.9559206,35.3521151,864,4.0,1.0
33.062939925129015,35.50490748877646,886,4.0,1.0
33.0705856,35.1522145,70,4.0,1.5
32.88681225742244,35.58081878732756,87,4.0,1.0
33.02378596408639,35.25637179158714,89,4.0,1.5
32.973515727292266,35.09272055624355,4,4.0,1.5
33.03371876732018,35.57236986023387,90,4.0,1.5
32.84362675020586,35.16382547706033,70,4.0,1.5
32.91246570140082,35.54497445569641,90,4.0,1.5
32.96874579290098,35.638287991665884,888,4.0,1.0
32.9124567489812,35.18268055902087,85,4.0,1.5
32.912612522695184,35.18273648086207,85,4.0,1.5
32.980358141322895,35.096414908985516,859,4.0,1.5
32.91129402036175,35.47879794579771,85,4.0,1.5
33.04373973440026,35.571714135322544,90,4.0,1.5
31.45197816987135,34.59994931416157,34,4.0,1.5
33.01361003173228,35.62435994067607,91,4.0,1.5
32.87690961422053,35.17742322171042,70,4.0,1.5
31.5049002,34.5642247,232,4.0,1.0
33.110978447537455,35.52242310932507,899,4.0,1.5
33.0179564,35.1035929,4,4.0,1.5
32.76225620002427,35.088862301533744,70,4.0,1.5
33.054920049060726,35.46495633279518,899,4.0,1.5
32.7834105,35.5431339,90,2.5,1.5
32.7366195,35.5686553,90,2.5,1.5
32.7669399,35.5506863,90,2.5,1.5
32.7029973,35.5867464,90,2.5,1.5
32.8008556,35.5319811,90,2.5,1.5
31.1516406,35.5305192,65,2.5,1.5
31.2862775,35.5325532,65,2.5,1.5
32.7023605,35.4120296,65,2.5,1.5
32.6885247,35.4195446,65,2.5,1.5
32.7598012,35.4114261,65,2.5,1.5
31.0892598,35.5160608,65,2.5,1.5
32.7608424,35.4113148,65,2.5,1.5
32.729458,35.6551484,98,2.5,1.0
32.8819034,35.6600955,92,2.5,1.0
32.7822561,35.6408127,92,2.5,1.0
32.7036002,35.5063129,767,2.5,1.0
32.742152,35.5406357,768,2.5,1.5
32.7860827,35.4949869,768,2.5,1.5
32.8096046,35.398027,785,2.5,1.0
32.6487325,35.3735597,716,2.5,1.0
30.9418466,35.4546048,65,2.5,1.5
32.6784593,35.4121414,65,2.5,1.5
32.8811694,35.4255189,807,2.5,1.0
32.8209186,35.6824261,789,2.5,1.5
31.05326264283449,35.47566625975872,65,2.5,1.5
32.5864007,35.4354138,717,2.5,1.0
32.6989948,35.430739,767,2.5,1.0
32.77182924554602,35.640502857124176,92,2.5,1.0
32.8390937,35.3979735,806,2.5,1.5
32.851765451617695,35.480685119013465,807,2.5,1.0
31.1982131,35.5287257,65,2.5,1.5
32.7722263,35.5055496,768,2.5,1.5
32.8605588,35.3765609,805,2.5,1.0
32.7364401,35.5402596,768,2.5,1.5
32.7689197,35.692891,98,2.5,1.0
29.5602231,34.9579612,90,2.0,1.5
30.4476101,35.1542771,90,2.0,1.5
29.546927,34.9514673,90,2.0,1.5
29.5086059,34.9212488,90,2.0,1.5
30.7469017,35.2281927,90,2.0,1.5
30.5324523,35.1834213,90,2.0,1.5
30.2797061,35.0019826,40,2.0,1.5
30.621936,34.8036424,40,2.0,1.5
30.8991678,35.4300919,65,2.0,1.5
29.7762885,35.0577781,65,2.0,1.5
29.5476525,34.9424933,12,2.0,1.5
30.984236,34.9374605,225,2.0,1.5
31.0428966,35.2003634,258,2.0,1.0
31.0104897,34.7799954,222,2.0,1.5
30.8140675,35.24859,227,2.0,1.0
30.9935368,34.9168297,224,2.0,1.0
31.9961433,34.7347887,441,2.0,2.0
32.2615995,34.944886,553,2.0,1.5
32.0828465,34.8034674,482,2.0,2.0
32.2612249,34.9157054,562,2.0,1.5
32.3065176,34.9382115,562,2.0,1.5
31.5278914,34.6121482,334,2.0,1.0
31.8986517,34.8103932,412,2.0,1.5
32.2373667,34.8789916,551,2.0,1.0
31.7602253,34.793411,383,2.0,1.0
31.7777713,35.1290912,395,2.0,1.5
31.4422211,34.7659992,293,2.0,1.5
31.4771954,34.930641,358,2.0,1.0
31.5361232,34.9185525,358,2.0,1.0
31.5383541,34.9057094,358,2.0,1.0
31.5388594,34.907025,358,2.0,1.0
32.0346407,34.957967,465,2.0,1.5
32.1752232,34.8913508,554,2.0,1.0
32.2297963,34.9505011,554,2.0,1.0
31.9158734,34.8169926,423,2.0,2.0
31.6871427,35.0005348,375,2.0,1.0
31.4420532,34.7635144,264,2.0,1.5
31.4791883,34.9530539,354,2.0,1.0
32.7116404,35.3068315,754,2.0,1.5
32.7298222,35.2841425,700,2.0,1.0
32.4864624,34.9024718,651,2.0,1.5
32.5723367,34.9604533,652,2.0,1.5
32.6928816,35.0478759,672,2.0,1.5
32.6117197,35.0837375,672,2.0,1.5
32.6802781,35.0643452,672,2.0,1.5
32.696607,35.0528403,672,2.0,1.5
32.711291,34.9514904,721,2.0,1.5
32.5173003,34.9924648,654,2.0,1.0
32.5442755,34.9669331,654,2.0,1.0
32.3930038,34.9222457,581,2.0,1.0
32.3967507,34.9261783,581,2.0,1.0
32.3939574,34.9229473,581,2.0,1.0
32.4159165,35.0084638,581,2.0,1.0
32.8932243,35.1837434,805,2.0,1.0
32.8603856,35.3054985,805,2.0,1.0
32.8102974,35.2521308,784,2.0,1.0
32.8893397,35.2571165,784,2.0,1.0
32.8588941,35.2651508,784,2.0,1.0
32.8546517,35.2697224,784,2.0,1.0
32.8391522,35.2570998,784,2.0,1.0
32.8210789,35.2289327,784,2.0,1.0
32.6029064,35.2789257,671,2.0,1.5
32.7597867,35.0777252,772,2.0,1.5
32.8007534,35.0759512,772,2.0,1.5
32.789671,35.0771117,772,2.0,1.5
32.5286447,35.3721164,667,2.0,1.0
29.554067,34.92701,12,2.0,1.5
30.6237269,34.8039153,40,2.0,1.5
30.6128734,34.8036623,40,2.0,1.5
32.7603682,35.3457548,754,2.0,1.5
31.8653449,34.9530996,424,2.0,1.0
29.9899809,35.0764847,40,2.0,1.5
31.4231289,34.7867766,325,2.0,1.0
31.8659415,34.952257,424,2.0,1.0
30.142486,35.1336903,90,2.0,1.5
30.9144525,35.0175839,206,2.0,1.0
30.109186633536908,35.14451140908055,90,2.0,1.5
30.3427029,35.238117,65,2.0,1.5
32.5543055,34.9570855,652,2.0,1.5
31.067061,35.0058221,204,2.0,1.5
32.69698,35.0543826,672,2.0,1.5
31.888374962196917,34.77877425795698,410,2.0,1.5
31.3712951,34.7830747,310,2.0,1.5
30.3275697680498,34.954401313249235,40,2.0,1.5
32.0794928,34.7935987,481,2.0,2.0
29.846143428153304,34.838904445459825,12,2.0,1.5
32.25589575597846,34.86275033720635,553,2.0,1.5
29.860936580367387,35.03428571784016,90,2.0,1.5
32.0471027,34.7841113,461,2.0,1.5
30.4107778,35.1523349,90,2.0,1.5
30.6231587,35.1970828,90,2.0,1.5
29.84322775344731,35.0276582876051,90,2.0,1.5
30.632404071726963,35.282740087906866,65,2.0,1.5
32.8079408,34.977305,672,2.0,1.5
31.5687768,34.6433028,352,2.0,1.0
31.8469955,34.8368469,411,2.0,1.5
31.311015,34.7883396,406,2.0,2.0
31.7765792,35.0117922,395,2.0,1.5
30.9632972,35.0493427,227,2.0,1.0
31.1867023,34.5534609,222,2.0,1.5
31.4420083,34.7636335,264,2.0,1.5
30.82021663654047,34.75359102815644,40,2.0,1.5
30.8602325,35.2626065,90,2.0,1.5
31.4427684,34.7337677,334,2.0,1.0
32.8047591,35.2531465,784,2.0,1.0
30.160367908390523,35.017845357519946,40,2.0,1.5
31.9238404,34.8405001,421,2.0,1.5
30.510106877524088,34.94049845333824,40,2.0,1.5
32.7141003,34.970596,721,2.0,1.5
31.7456872,34.8200324,383,2.0,1.0
29.991006315506095,34.93850655123118,12,2.0,1.5
32.47906357685985,34.95469624151248,651,2.0,1.5
29.68388099347806,34.86272769913887,12,2.0,1.5
32.5738469,35.249339,675,2.0,1.5
32.05309012140236,34.94354161184395,444,2.0,1.5
30.938366602065376,34.871504389250745,204,2.0,1.5
30.9460466,35.0392117,225,2.0,1.5
30.265252001843596,35.13613752463224,90,2.0,1.5
30.002021851920848,35.08569633326174,90,2.0,1.5
29.708686177928165,34.99795177605668,90,2.0,1.5
32.092596430112785,34.85228225861316,481,2.0,2.0
32.758697347315945,35.02100869044145,672,2.0,1.5
31.8132421,34.899548,411,2.0,1.5
29.97909111547766,35.069030579060104,90,2.0,1.5
31.998710333493378,34.819290577815984,412,2.0,1.5
32.8222586,35.1495272,781,2.0,1.5
31.67995201007523,34.89796857432471,353,2.0,1.0
30.515681421122455,35.1811640850645,90,2.0,1.5
29.69914151464628,34.99472173030506,90,2.0,1.5
30.772303057095492,35.35038802097892,65,2.0,1.5
30.48408145082242,35.28928091344314,65,2.0,1.5
32.001370811820365,34.82101222215649,412,2.0,1.5
31.7764783,35.0664881,395,2.0,1.5
31.652324,34.6632875,232,2.0,1.0
32.160543785064284,34.84258360397408,482,2.0,2.0
32.8474956,35.3374729,804,2.0,1.0
32.8246202,35.1642837,781,2.0,1.5
31.9587301,34.8020987,441,2.0,2.0
30.898765780385116,35.1316934981915,227,2.0,1.0
31.096541829250846,34.66912674091513,222,2.0,1.5
32.7390249,35.136761,762,2.0,1.5
31.921098,34.8136263,423,2.0,2.0
31.33179793170028,34.69960521629294,264,2.0,1.5
31.21740737149444,34.80488009217176,406,2.0,2.0
30.6423837,35.2070128,90,2.0,1.5
31.749605,35.0023796,3855,2.0,1.5
32.8881594,35.2563652,784,2.0,1.0
32.8020933,35.0756636,772,2.0,1.5
30.048750786943266,35.014245345777475,40,2.0,1.5
30.279350061304307,35.05158822378362,13,2.0,1.5
31.3865175,34.8777943,358,2.0,1.0
30.9869283,34.9314877,225,2.0,1.5
31.1466376,35.2202454,258,2.0,1.0
30.76447448313039,35.23383933626514,90,2.0,1.5
32.7161644,35.2989437,700,2.0,1.0
31.013997594266343,35.080091426027465,206,2.0,1.0
32.5563695,35.0787501,672,2.0,1.5
29.6740759,35.0298542,65,2.0,1.5
30.71894059955423,34.77792119700127,40,2.0,1.5
31.06099604742642,34.852700279498265,224,2.0,1.0
32.510771,34.9570687,652,2.0,1.5
31.49690580570475,34.68571696181941,334,2.0,1.0
32.0921744506942,34.86005448187934,481,2.0,2.0
32.3810254,34.9927793,581,2.0,1.0
30.42086718828618,34.942554757015664,40,2.0,1.5
31.3832276,34.8778612,358,2.0,1.0
30.585461821855386,34.89128042142932,40,2.0,1.5
31.83978988505241,34.85035618617226,411,2.0,1.5
32.2615478,34.9250644,553,2.0,1.5
32.2121943,34.8253988,543,2.0,1.5
31.748969859210998,34.87867537383736,383,2.0,1.0
32.63672,35.0642675,672,2.0,1.5
32.7898775,34.9867424,672,2.0,1.5
29.921327872163786,34.886724157888544,12,2.0,1.5
31.3740879,34.8046907,310,2.0,1.5
29.767470999348706,34.8656393866876,12,2.0,1.5
32.1105148,34.8684177,4911,2.0,1.5
