rank,lat,lon,road,zone,composite_score,alert_score_norm,border_proximity_score,nearby_alerts_marapr2026,road_risk,lanes_weight,status,relocated_from_lat,relocated_from_lon,nearest_city_when_relocated,moved_km
161,31.68712,34.94661,38,standard,0.1585,0.1784,0.1387,9768,3.5,1.5,rural,,,,
162,31.76438,35.15297,קלמן יעקב מן,standard,0.1563,0.3126,0.0,17117,2.5,1.5,rural,,,,
163,31.71856,35.10578,375,standard,0.1547,0.3093,0.0,16937,2.5,1.0,relocated,31.70583,35.12692,מבוא ביתר,2.45
164,32.71169,35.13011,דרך העמקים,standard,0.154,0.1113,0.1967,6095,3.5,1.5,rural,,,,
165,31.60692,34.89303,35,standard,0.1518,0.0468,0.2569,2563,3.5,1.5,rural,,,,
166,31.22568,34.82874,40,gaza,0.1511,0.0185,0.2836,1014,3.5,1.5,rural,,,,
168,32.70628,35.16708,דרך העמקים,standard,0.1457,0.1188,0.1725,6506,3.5,1.5,rural,,,,
169,32.80878,35.39957,65,standard,0.1448,0.073,0.2165,3998,3.5,1.5,rural,,,,
170,31.16752,34.80461,40,gaza,0.1423,0.0185,0.2661,1014,3.5,1.5,rural,,,,
171,31.39125,34.87917,358,gaza,0.1411,0.0233,0.2589,1276,2.5,1.0,rural,,,,
172,31.73761,35.15143,384,standard,0.1411,0.2822,0.0,15450,2.5,1.0,rural,,,,
173,32.90057,35.61115,87,standard,0.1409,0.0367,0.2451,2007,3.5,1.0,rural,,,,
174,30.93828,34.58878,211,gaza,0.1395,0.0,0.2791,0,2.5,1.5,rural,,,,
175,30.90461,34.49691,211,gaza,0.138,0.0,0.276,0,2.5,1.5,rural,,,,
176,32.87232,35.54062,90,standard,0.1335,0.0362,0.2308,1983,3.5,1.5,rural,,,,
177,32.35022,35.00667,582,standard,0.1322,0.2644,0.0,14477,2.5,1.5,rural,,,,
178,30.8825,34.39305,primary,gaza,0.1253,0.0,0.2506,0,2.5,1.5,rural,,,,
179,32.36079,34.86679,כביש החוף,standard,0.1247,0.2494,0.0,13656,4.0,1.5,rural,,,,
180,31.32146,34.88618,31,gaza,0.1237,0.0194,0.228,1062,3.5,1.5,rural,,,,
181,31.69666,35.01068,עוקף בית שמש,standard,0.121,0.2262,0.0158,12387,2.5,1.5,rural,,,,
182,32.68643,35.06666,672,standard,0.1192,0.09,0.1485,4929,2.5,1.5,rural,,,,
183,31.45936,34.91479,358,standard,0.1189,0.0279,0.2099,1527,2.5,1.0,rural,,,,
184,32.70048,35.20778,דרך העמקים,standard,0.1172,0.0939,0.1405,5140,3.5,1.5,rural,,,,
185,31.5361,34.92017,358,standard,0.1165,0.0279,0.2051,1527,2.5,1.0,rural,,,,
186,32.8454,35.51626,90,standard,0.1163,0.0362,0.1964,1983,3.5,1.5,rural,,,,
187,32.38111,34.99238,581,standard,0.1157,0.2314,0.0,12669,2.5,1.0,rural,,,,
188,32.38041,34.90748,כביש חיפה רעננה,standard,0.1149,0.2298,0.0,12584,3.5,1.5,relocated,32.3677,34.90953,משמרת,1.42
189,32.70974,34.95217,כביש החוף,standard,0.1117,0.0528,0.1707,2891,4.0,1.5,rural,,,,
190,31.11922,34.81323,40,gaza,0.1101,0.0185,0.2016,1014,3.5,1.5,rural,,,,
191,30.95655,34.67235,211,gaza,0.1096,0.0,0.2192,0,2.5,1.5,rural,,,,
192,32.75307,35.34331,754,standard,0.1061,0.0638,0.1483,3495,2.5,1.5,rural,,,,
193,32.39689,34.92828,581,standard,0.1058,0.2115,0.0,11583,2.5,1.0,rural,,,,
194,32.395,34.87165,כביש החוף,standard,0.103,0.2061,0.0,11283,4.0,1.5,rural,,,,
195,32.36165,35.02999,574,standard,0.1019,0.2037,0.0,11155,2.5,1.5,rural,,,,
196,31.31604,34.91218,60,standard,0.1006,0.0235,0.1777,1287,3.5,1.5,rural,,,,
197,32.67418,35.10376,כביש חוצה ישראל,standard,0.1002,0.0814,0.119,4459,4.0,1.5,rural,,,,
198,32.76387,35.37519,77,standard,0.0964,0.0474,0.1454,2598,3.5,1.5,rural,,,,
199,31.50673,34.94324,358,standard,0.0946,0.0279,0.1614,1527,2.5,1.0,rural,,,,
200,31.41642,34.93574,354,standard,0.0934,0.0279,0.1588,1527,2.5,1.0,rural,,,,
201,32.3855,35.01922,כביש חוצה ישראל,standard,0.0921,0.1843,0.0,10091,4.0,1.5,rural,,,,
202,30.96492,34.71583,211,gaza,0.0875,0.0,0.1751,0,2.5,1.5,rural,,,,
204,31.20745,34.89689,25,gaza,0.0836,0.0185,0.1486,1014,3.5,1.5,rural,,,,
205,31.48628,34.95581,primary,standard,0.0824,0.0279,0.137,1527,2.5,1.5,rural,,,,
206,31.67529,35.03189,367,standard,0.0819,0.1637,0.0,8965,2.5,1.5,rural,,,,
207,31.593,34.96153,35,standard,0.078,0.0291,0.127,1591,3.5,1.5,rural,,,,
208,32.72877,35.32292,79,standard,0.076,0.0368,0.1151,2016,3.5,1.5,rural,,,,
209,32.39496,35.04624,574,standard,0.0757,0.1513,0.0,8287,2.5,1.5,rural,,,,
210,32.41182,35.01958,9,standard,0.0753,0.1506,0.0,8249,3.5,2.0,rural,,,,
211,31.34204,34.93297,60,standard,0.0751,0.005,0.1452,273,3.5,1.5,rural,,,,
212,31.00948,34.7797,40,gaza,0.0704,0.0,0.1407,0,3.5,1.5,rural,,,,
213,30.98717,34.76682,40,gaza,0.0663,0.0,0.1325,0,3.5,1.5,rural,,,,
214,31.27477,34.94342,31,standard,0.0642,0.0225,0.1059,1231,3.5,1.5,rural,,,,
215,32.70875,35.30998,דרך הציונות,standard,0.0608,0.0368,0.0847,2017,3.5,1.5,rural,,,,
216,31.66644,35.10938,367,standard,0.0583,0.1166,0.0,6387,2.5,1.5,relocated,31.67523,35.10646,ביתר עילית,1.01
217,32.45118,34.8932,כביש החוף,standard,0.0559,0.1117,0.0,6118,4.0,1.5,rural,,,,
218,31.57389,34.9817,חוצה יהודה,standard,0.0559,0.0229,0.0888,1254,3.5,1.5,rural,,,,
219,32.75386,35.41108,65,standard,0.0539,0.0106,0.0972,580,3.5,1.5,rural,,,,
220,32.45257,34.97321,65,standard,0.0534,0.1069,0.0,5851,3.5,1.5,rural,,,,
221,32.79894,35.52056,מנחם בגין,standard,0.0531,0.0064,0.0998,348,3.5,2.0,rural,,,,
222,31.06652,34.83841,40,gaza,0.0524,0.0,0.1047,0,3.5,1.5,rural,,,,
223,32.43746,35.02462,574,standard,0.0507,0.1015,0.0,5557,2.5,1.5,rural,,,,
224,32.78596,35.49496,מנחם בגין,standard,0.0503,0.0064,0.0943,348,3.5,2.0,relocated,31.91587,34.81699,ביצרון,115.63
225,31.65044,35.06612,Downtown - Schools,standard,0.0478,0.0955,0.0,5230,2.5,2.0,rural,,,,
226,32.6423,35.05813,672,standard,0.0472,0.0442,0.0502,2419,2.5,1.5,rural,,,,
227,32.66137,35.23909,73,standard,0.0382,0.0368,0.0397,2013,3.5,1.5,rural,,,,
228,32.47901,34.95591,הים,standard,0.0357,0.0714,0.0,3911,2.5,1.5,rural,,,,
230,32.45671,35.04691,האחווה,standard,0.0298,0.0597,0.0,3267,2.5,1.5,rural,,,,
231,32.50474,34.91422,כביש החוף,standard,0.027,0.054,0.0,2956,4.0,1.5,rural,,,,
233,32.67574,35.29197,60,standard,0.0263,0.0205,0.0321,1122,3.5,1.5,rural,,,,
234,31.60979,35.0419,Tarqumia - Surif,standard,0.0252,0.0504,0.0,2761,2.5,1.0,rural,,,,
235,32.48213,35.03479,כביש חוצה ישראל,standard,0.0243,0.0486,0.0,2660,4.0,1.5,rural,,,,
236,32.64337,34.95866,כביש חיפה רעננה,standard,0.0213,0.0121,0.0304,662,3.5,1.5,rural,,,,
238,30.93868,34.78511,40,gaza,0.0191,0.0,0.0381,0,3.5,1.5,rural,,,,
240,31.1853,34.95695,25,standard,0.0163,0.0081,0.0246,442,3.5,1.5,rural,,,,
241,32.5173,34.99246,654,standard,0.0161,0.0323,0.0,1768,2.5,1.0,rural,,,,
242,32.77382,35.54631,שדרות אליעזר קפלן,standard,0.0144,0.0,0.0288,0,3.5,1.0,rural,,,,
244,31.31285,34.99488,316,standard,0.0126,0.004,0.0212,217,2.5,1.0,rural,,,,
248,32.61908,35.05488,כביש חוצה ישראל,standard,0.01,0.0201,0.0,1099,4.0,1.5,rural,,,,
249,32.53646,34.92907,כביש חיפה רעננה,standard,0.008,0.0161,0.0,881,3.5,1.5,rural,,,,
250,31.25485,35.21055,31,standard,0.0069,0.0138,0.0,753,3.5,1.5,rural,,,,
251,31.29801,35.13199,80,standard,0.0069,0.0138,0.0,753,3.5,1.5,rural,,,,
252,32.56323,34.95873,652,standard,0.0054,0.0107,0.0,587,2.5,1.0,rural,,,,
253,32.52426,35.02544,653,standard,0.0054,0.0107,0.0,587,2.5,1.0,rural,,,,
254,31.2012,35.35995,דרך ים המלח,standard,0.0049,0.0098,0.0,536,3.5,1.5,rural,,,,
255,31.19194,35.28031,31,standard,0.0049,0.0098,0.0,536,3.5,1.5,rural,,,,
256,31.25015,35.36307,דרך ים המלח,standard,0.0049,0.0098,0.0,536,3.5,1.5,rural,,,,
257,32.5864,35.43541,717,standard,0.0047,0.0093,0.0,510,2.5,1.0,rural,,,,
258,31.25249,35.12599,80,standard,0.0046,0.0091,0.0,500,3.5,1.5,rural,,,,
259,31.2344,35.10819,80,standard,0.0046,0.0091,0.0,500,3.5,1.5,rural,,,,
260,31.2565,35.09862,31,standard,0.0046,0.0091,0.0,500,3.5,1.5,rural,,,,
261,31.16767,35.04596,80,standard,0.004,0.0081,0.0,442,3.5,1.5,rural,,,,
262,31.26291,35.02142,31,standard,0.004,0.0081,0.0,442,3.5,1.5,rural,,,,
263,31.15683,34.995,80,standard,0.004,0.0081,0.0,442,3.5,1.5,rural,,,,
264,32.60198,35.08464,672,standard,0.004,0.008,0.0,440,2.5,1.5,rural,,,,
265,32.71782,35.43847,דרך המושבות,standard,0.0036,0.0042,0.003,232,2.5,1.0,rural,,,,
266,30.61281,34.85762,40,gaza,0.0026,0.0052,0.0,284,3.5,1.5,rural,,,,
267,30.62719,34.80473,40,gaza,0.0026,0.0052,0.0,284,3.5,1.5,rural,,,,
268,30.6616,34.80929,40,gaza,0.0026,0.0052,0.0,284,3.5,1.5,rural,,,,
269,30.5665,34.90431,40,standard,0.0026,0.0052,0.0,284,3.5,1.5,rural,,,,
270,30.72685,34.77465,40,gaza,0.0026,0.0052,0.0,284,3.5,1.5,rural,,,,
271,31.14917,35.22181,258,standard,0.0026,0.0052,0.0,283,2.5,1.0,rural,,,,
273,31.31343,35.38376,דרך ים המלח,standard,0.0023,0.0046,0.0,253,3.5,1.5,rural,,,,
274,32.6126,35.54892,90,standard,0.0021,0.0042,0.0,232,3.5,1.5,rural,,,,
275,32.70236,35.41203,65,standard,0.0021,0.0042,0.0,232,3.5,1.5,rural,,,,
276,32.66478,35.39644,65,standard,0.0021,0.0042,0.0,232,3.5,1.5,rural,,,,
277,32.59074,35.2921,60,standard,0.0021,0.0042,0.0,232,3.5,1.5,rural,,,,
278,32.64101,35.32434,כביש עוקף עפולה מזרח,standard,0.0021,0.0042,0.0,232,3.5,1.5,rural,,,,
279,32.56021,35.35378,675,standard,0.0021,0.0042,0.0,232,2.5,1.5,rural,,,,
280,32.5798,35.39895,716,standard,0.0021,0.0042,0.0,232,2.5,1.0,rural,,,,
281,32.63534,35.39574,716,standard,0.0021,0.0042,0.0,232,2.5,1.0,rural,,,,
282,32.71608,35.46579,דרך המושבות,standard,0.0021,0.0042,0.0,232,2.5,1.0,rural,,,,
283,31.12478,35.01084,25,standard,0.0021,0.0041,0.0,225,3.5,1.5,rural,,,,
284,29.54367,35.13064,Aqaba Back Road Hight Way,standard,0.0,0.0,0.0,0,3.5,2.0,rural,,,,
285,32.55248,35.0312,כביש חוצה ישראל,standard,0.0,0.0,0.0,0,4.0,1.5,rural,,,,
286,32.58001,35.04577,כביש חוצה ישראל,standard,0.0,0.0,0.0,0,4.0,1.5,rural,,,,
287,32.61043,34.92748,כביש החוף,standard,0.0,0.0,0.0,0,4.0,1.5,rural,,,,
288,32.58656,34.92636,כביש החוף,standard,0.0,0.0,0.0,0,4.0,1.5,rural,,,,
290,32.74157,35.56785,90,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
291,31.14138,35.36025,90,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
292,29.5441,34.95027,90,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
293,32.70484,35.58641,90,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
295,32.67837,35.5805,90,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
296,29.57788,34.96757,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
297,29.60913,34.98382,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
300,29.76344,35.01411,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
303,30.28384,34.99975,40,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
304,30.81704,34.75609,40,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
305,30.78002,34.76921,40,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
309,29.52232,35.00277,شارع الملك حسين,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
310,30.04781,35.01047,12,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
311,31.05359,35.03088,25,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
312,31.06829,35.00661,25,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
317,29.83364,35.02882,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
318,29.63183,34.88065,כביש הגבול המערבי,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
319,29.77754,35.05858,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
320,30.13754,35.138,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
321,32.51782,35.12337,ואדי עארה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
322,29.84431,34.83819,12,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
324,30.48576,34.93315,40,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
327,29.63123,35.03926,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
330,29.94978,34.91844,12,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
331,29.96941,35.06507,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
332,29.90251,35.11642,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
333,30.26971,35.13539,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
334,29.73907,34.85312,כביש הגבול המערבי,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
335,31.03923,35.16624,25,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
336,29.70652,34.99732,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
337,30.37038,34.96243,40,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
338,30.16144,35.01743,40,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
343,31.07234,35.3971,90,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
345,29.89666,35.06371,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
346,30.05335,35.11309,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
347,30.87527,34.78662,40,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
348,29.47292,34.98165,شارع الملك حسين,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
350,32.5894,34.98374,ואדי מילק,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
351,29.57155,35.01651,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
355,29.95947,35.13153,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
357,29.90423,34.86291,12,gaza,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
358,30.00362,34.9552,12,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
361,29.65814,34.99038,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
362,32.55072,35.16414,ואדי עארה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
363,30.20251,35.13549,הערבה,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
364,29.8365,35.10101,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
365,29.72945,35.03561,Jordan Valley Highway,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
366,30.29091,35.09632,13,standard,0.0,0.0,0.0,0,3.5,1.5,rural,,,,
367,30.9957,34.92368,204,standard,0.0,0.0,0.0,0,2.5,1.5,rural,,,,
368,32.57236,35.07668,672,standard,0.0,0.0,0.0,0,2.5,1.5,rural,,,,
369,32.56674,35.26239,675,standard,0.0,0.0,0.0,0,2.5,1.5,rural,,,,
370,30.91157,34.84372,204,gaza,0.0,0.0,0.0,0,2.5,1.5,rural,,,,
371,29.55534,34.91334,דרך החוגגים,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
372,29.45665,35.03705,15,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
374,32.59429,35.18035,66,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
375,31.00401,35.27512,מעלה תמר,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
376,29.49429,35.08565,15,standard,0.0,0.0,0.0,0,3.5,1.0,rural,,,,
377,30.92485,35.02487,206,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
378,32.71419,35.54642,767,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
379,32.49564,35.15476,596,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
380,30.93723,35.11694,227,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
381,30.95248,35.01187,225,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
382,31.01151,35.07848,206,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
383,30.88774,35.13939,227,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
384,30.9633,35.04934,227,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
385,31.08317,35.21114,258,standard,0.0,0.0,0.0,0,2.5,1.0,rural,,,,
